relation	concept	tsne_x	tsne_y
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5525	5.617	9.249
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4790	8.954	7.221
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5905	5.534	9.298
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10492	4.846	5.040
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5646	7.633	3.307
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3240	8.755	3.008
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7855	1.909	1.918
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#2534	3.740	6.879
#gene-disease-association	#gene-disease-association_disease/mesh#D008114	4.579	3.462
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7283	5.598	4.945
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2885	7.180	7.981
#gene-disease-association	#gene-disease-association_disease/mesh#D009361	2.771	4.299
#drug-has-target	#drug-has-target_protein/uniprot#Q9P0Z9	1.582	5.300
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3827	3.604	1.691
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6709	5.568	6.602
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#387	8.676	8.999
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3910	3.542	7.060
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8615	5.587	7.021
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#94235	2.754	2.333
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#29780	3.731	6.996
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8362	9.120	5.178
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7414	4.160	7.243
#gene-disease-association	#gene-disease-association_disease/mesh#D056486	1.608	3.590
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5903	7.532	3.360
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8361	9.147	5.075
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6382	2.967	7.602
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2792	2.688	2.338
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23409	6.399	5.731
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9126	5.288	8.277
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23322	7.518	5.523
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1956	5.590	0.911
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4838	3.298	1.597
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10569	6.773	1.904
#drug-has-target	#drug-has-target_protein/uniprot#P45983	1.495	5.198
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6767	7.525	2.730
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#83660	3.076	7.720
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8366	9.184	5.170
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5443	3.641	1.718
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6773	2.446	9.119
#gene-disease-association	#gene-disease-association_disease/mesh#D064420	4.303	2.329
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22919	6.813	5.850
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8826	7.064	8.149
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79691	7.627	3.262
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#202500	7.572	5.350
#drug-has-target	#drug-has-target_protein/uniprot#P12319	1.686	5.279
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5430	9.843	6.341
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6636	6.963	1.872
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4163	4.039	9.325
#gene-disease-association	#gene-disease-association_disease/mesh#D010051	5.494	5.978
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3695	3.647	7.537
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51300	4.785	2.693
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6776	2.354	9.264
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6464	3.117	7.386
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9611	8.824	6.229
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10319	3.500	7.058
#drug-has-target	#drug-has-target_protein/uniprot#P28300	1.462	5.310
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5984	6.019	3.231
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8370	9.043	5.051
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8553	8.323	6.488
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26278	7.476	3.153
#drug-has-target	#drug-has-target_protein/uniprot#Q00796	1.580	5.170
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55320	8.319	6.561
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6775	2.286	9.259
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7507	5.963	2.930
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10959	5.493	6.921
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2918	2.017	2.129
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3682	3.831	7.702
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#5594	5.900	3.900
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2790	2.688	2.396
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5324	7.725	3.289
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#51026	6.183	6.004
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#1956	6.818	7.798
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#388	8.567	9.064
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5431	9.827	6.293
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3868	8.410	3.192
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1576	5.713	1.161
#gene-disease-association	#gene-disease-association_disease/mesh#D001321	3.918	2.911
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#207	2.054	9.060
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#81876	5.645	6.880
#drug-has-target	#drug-has-target_protein/uniprot#P23975	4.512	1.234
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23322	6.969	4.771
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3914	3.623	7.479
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3694	3.658	7.556
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10972	5.492	6.921
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6654	4.910	4.081
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#208	2.065	9.147
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8325	1.878	1.992
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6118	5.941	3.218
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54903	7.346	4.918
#gene-disease-association	#gene-disease-association_disease/mesh#D008175	4.015	2.190
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6774	2.317	8.976
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26165	7.499	2.767
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8290	9.007	6.993
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8364	9.195	5.118
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5529	5.445	9.316
#drug-has-indication	#drug-has-indication_disease/mesh#D010146	4.838	1.241
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#1463	3.182	7.704
#gene-disease-association	#gene-disease-association_disease/mesh#D015470	2.524	5.192
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9358	3.559	7.261
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54732	5.491	6.868
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57787	7.377	4.954
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7520	5.614	4.662
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#723790	9.157	5.484
#drug-has-target	#drug-has-target_protein/uniprot#Q9BTY2	1.575	5.268
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#53358	3.156	7.557
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#4088	3.330	1.271
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10451	6.526	3.845
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#81929	5.397	9.166
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3320	7.554	4.918
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55055	5.141	8.930
#drug-has-target	#drug-has-target_protein/uniprot#P51451	1.614	5.403
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4731	4.789	2.693
pathwaycommons#controls-transport-of-chemical	pathwaycommons#controls-transport-of-chemical_chemical/chebi#29108	6.054	5.421
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7158	9.427	7.383
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23036	7.303	2.677
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6773	2.328	9.256
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5880	8.527	9.272
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8516	3.904	7.738
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#84292	7.004	2.074
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#152185	7.382	5.341
#gene-disease-association	#gene-disease-association_disease/mesh#D002471	3.832	4.268
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7094	4.153	7.242
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2040	5.451	5.343
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5879	8.329	9.043
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#5594	2.847	4.757
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#22919	7.760	4.919
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8365	9.112	5.134
#gene-disease-association	#gene-disease-association_disease/mesh#D010190	4.340	3.215
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8349	8.913	4.976
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#84962	7.114	4.405
#gene-disease-association	#gene-disease-association_disease/mesh#D050197	0.541	2.518
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2783	2.782	2.458
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3861	8.532	3.339
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11130	5.152	8.907
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57731	5.477	6.692
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5595	5.901	3.900
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#83987	6.375	5.808
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4995	8.055	3.427
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9657	7.432	4.964
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8321	1.915	1.991
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#5879	6.443	3.877
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3673	3.983	7.902
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#710	7.503	3.041
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#58508	9.205	6.187
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10992	6.834	1.671
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7074	7.509	2.602
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3697	8.632	3.065
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#11346	6.907	8.105
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#83660	7.456	2.675
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6119	5.928	3.199
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5316	9.208	6.313
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#213	5.564	1.043
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4928	5.830	9.051
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#55930	7.048	8.158
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3852	8.465	3.322
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#333932	8.871	5.934
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6331	7.516	3.070
#gene-disease-association	#gene-disease-association_disease/mesh#D011658	0.428	3.159
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1646	5.771	1.050
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6608	2.235	2.028
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8467	8.137	6.571
#gene-disease-association	#gene-disease-association_disease/mesh#D019465	5.558	5.568
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#117177	6.989	4.777
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#10735	5.173	8.824
#gene-disease-association	#gene-disease-association_disease/mesh#D010300	3.636	2.494
#gene-disease-association	#gene-disease-association_disease/mesh#D009202	3.400	2.330
#gene-disease-association	#gene-disease-association_disease/mesh#D001171	4.771	2.282
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#55611	6.337	5.703
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5931	8.502	6.169
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3211	9.066	6.221
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3693	8.554	2.858
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3678	3.839	7.905
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3913	3.501	7.143
#drug-has-target	#drug-has-target_protein/uniprot#P04150	6.876	6.618
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3681	3.775	7.822
#drug-has-indication	#drug-has-indication_disease/mesh#D009369	2.514	6.309
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84174	7.527	2.928
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4060	3.195	7.707
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#58506	7.525	3.100
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79183	7.352	2.685
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#203068	6.622	4.866
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5914	9.467	5.782
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51720	9.373	7.470
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5515	5.740	9.131
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#261734	7.232	4.891
#gene-disease-association	#gene-disease-association_disease/mesh#D008325	4.600	5.963
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3725	9.029	6.258
#gene-disease-association	#gene-disease-association_disease/mesh#D000067877	4.015	2.817
#gene-disease-association	#gene-disease-association_disease/mesh#D006967	0.103	2.818
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#145508	7.456	5.803
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5441	9.999	6.133
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7410	6.405	3.892
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#1778	7.846	5.294
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7013	8.665	6.803
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8202	8.218	3.448
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5087	9.200	6.306
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5983	6.022	3.231
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#254879	8.086	3.435
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8636	6.809	4.937
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5516	5.628	9.178
#drug-has-target	#drug-has-target_protein/uniprot#P35367	4.774	1.567
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#1627	7.122	8.389
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5528	5.544	9.289
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6772	2.232	9.109
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9793	7.057	5.953
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6627	6.937	1.662
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#220134	5.270	9.151
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6777	2.403	9.225
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23524	7.014	1.926
#gene-disease-association	#gene-disease-association_disease/mesh#D011471	3.608	3.707
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#149628	9.145	7.283
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8481	7.133	5.062
#gene-disease-association	#gene-disease-association_disease/mesh#D008103	1.658	4.085
#gene-disease-association	#gene-disease-association_disease/mesh#D019966	3.951	1.883
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2885	2.045	1.690
#drug-has-target	#drug-has-target_protein/uniprot#O00519	1.544	5.397
#drug-has-target	#drug-has-target_protein/uniprot#Q9H228	1.542	5.397
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#22981	7.345	5.586
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4295	3.593	1.646
#gene-disease-association	#gene-disease-association_disease/mesh#D011230	4.559	3.428
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7046	3.219	1.324
#gene-disease-association	#gene-disease-association_disease/mesh#D017202	0.959	3.294
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6709	5.056	4.926
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5594	5.901	3.900
#gene-disease-association	#gene-disease-association_disease/mesh#D003324	0.549	2.453
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7846	6.667	4.870
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#132320	0.077	1.916
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5435	9.912	6.257
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2776	2.963	2.494
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22976	9.352	6.262
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5347	6.701	5.911
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3689	3.655	7.705
#gene-disease-association	#gene-disease-association_disease/mesh#D002294	4.247	3.396
#drug-has-target	#drug-has-target_protein/uniprot#P14550	1.503	5.194
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84292	6.674	2.396
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5579	6.290	5.346
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23279	5.762	8.905
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7148	3.049	7.758
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#27229	7.212	4.420
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#151246	7.434	2.993
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#11345	3.824	5.224
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#91603	5.968	2.907
#drug-has-indication	#drug-has-indication_disease/mesh#D003924	5.009	2.503
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8337	9.254	5.447
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79600	6.875	4.718
#gene-disease-association	#gene-disease-association_disease/mesh#D005909	2.493	5.200
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55679	3.728	6.986
#drug-has-indication	#drug-has-indication_disease/mesh#D001249	6.874	6.617
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5885	5.385	8.360
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6778	2.425	9.227
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5861	5.587	6.848
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7040	3.188	1.527
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6232	5.330	9.263
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3858	8.610	3.319
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9025	9.355	7.343
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11081	3.243	7.704
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#23221	8.639	9.164
#gene-disease-association	#gene-disease-association_disease/mesh#D002545	0.359	2.537
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#25777	8.739	6.896
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10111	9.440	7.206
#gene-disease-association	#gene-disease-association_disease/mesh#D010003	7.178	9.288
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6383	2.920	7.558
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3848	8.282	2.965
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3500	8.700	2.905
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3623	3.314	1.677
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7341	9.367	7.358
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#27175	7.143	4.442
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#51259	5.058	3.173
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#10000	2.065	9.147
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3987	3.764	7.077
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6134	6.327	8.348
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6629	6.888	1.830
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9978	6.105	2.948
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23063	5.241	8.925
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10492	6.962	1.991
pathwaycommons#controls-expression-of	pathwaycommons#controls-expression-of_gene/entrez#5308	4.480	4.469
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10891	5.709	4.314
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#347240	7.414	4.963
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10652	5.592	7.018
#gene-disease-association	#gene-disease-association_disease/mesh#D001172	0.428	2.509
#gene-disease-association	#gene-disease-association_disease/mesh#D003093	0.618	3.201
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6917	5.970	2.931
#gene-disease-association	#gene-disease-association_disease/mesh#D002779	1.236	3.540
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#121441	7.282	5.075
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3853	8.438	3.327
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22798	3.543	7.060
#gene-disease-association	#gene-disease-association_disease/mesh#D009410	4.534	2.070
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#93323	7.478	5.070
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11258	7.828	5.240
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#208	2.065	9.147
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5473	7.731	3.220
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3912	3.608	7.145
#gene-disease-association	#gene-disease-association_disease/mesh#D004827	3.951	2.739
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2243	8.894	3.123
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55559	7.501	5.070
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3911	3.501	7.141
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4867	7.249	4.895
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3687	3.682	7.745
#drug-has-target	#drug-has-target_protein/uniprot#P53634	1.460	5.248
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#117178	7.361	5.482
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54908	5.297	9.021
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54930	7.580	5.069
